TANGGAL PEMBELIAN,NAMA SUPPLIER & PENYEDIA JASA,ITEM,QTY,HARGA,KETERANGAN
,DK Sublim (Surabaya),Sublim Jersey,1 meter,Rp  45.000,Harga Bervariasi Tergantung Jenis Kain & Motif
