TANGGAL PEMBELIAN,NAMA SUPPLIER & PENYEDIA JASA,ITEM,QTY,HARGA,KETERANGAN
,Esteva Indonesia (Surabaya),Printing Batik,1 meter,Rp  97.500,Harga Bervariasi Tergantung Jenis Kain & Motif
,Keska Printing (Bandung),Printing Batik,1 meter,Rp  35.000,Harga Bervariasi Tergantung Jenis Kain & Motif
