TANGGAL PEMBELIAN,NAMA SUPPLIER & PENYEDIA JASA,ITEM,QTY,HARGA,KETERANGAN
2025-02-03,UD. Aries Jaya,Lampu,1 set,Rp  156.000,Jika Pembelian Banyak Harga Berbeda
2025-02-03,Toko Enny Nur,Baterai ABC Alkaline,1 pack,Rp  14.000,Jika Pembelian Banyak Harga Berbeda
2025-02-03,Toko Kertas Sari Agung,Kertas HVS 70 Gr,1 lembar,Rp  3.500,Jika Pembelian Banyak Harga Berbeda
2025-02-04,Jaya Santosa,Kran Air Soligen,1 pcs,Rp  43.000,Jika Pembelian Banyak Harga Berbeda
2025-02-15,CV.  Prima Berkah Sejati,Buku Nota,1 pcs,Rp  6.200,Jika Pembelian Banyak Harga Berbeda
