TANGGAL PEMBELIAN,NAMA SUPPLIER & PENYEDIA JASA,Item,Qty,Harga,KETERANGAN,Status
,Lydia Embroidery,Bordir Biasa,1 Titik,15000,Harga Bervariasi Tergantung Kebutuhan Bordir,Pending
,Lydia Embroidery,Bordir 3D,1 Titik,30000,Harga Bervariasi Tergantung Kebutuhan Bordir,Pending
,Dupak Bordir,Bordir Biasa,1 Titik,15000,Harga Bervariasi Tergantung Kebutuhan Bordir,Pending
,Dupak Bordir,Bordir 3D,1 Titik,30000,Harga Bervariasi Tergantung Kebutuhan Bordir,Pending
,Oviekids Embroidery,Bordir 3D,1 Titik,25000,Harga Bervariasi Tergantung Kebutuhan Bordir,Pending
